transaction_id,amount,hour,day_of_week,customer_age,account_age_days,avg_amount_30d,transaction_count_24h,transaction_count_7d,distance_from_home,distance_from_usual_location,merchant_risk,merchant_category,is_new_device,is_international,is_online,failed_attempts_24h,password_changed_recently,beneficiary_added_recently,amount_deviation,is_fraud
TXN0000113,33.67,14,4,50,1977,246.39,1,19,43.69,17.89,0.3995,Healthcare,1,1,0,0,0,0,0.137,0
TXN0000114,12.64,16,5,55,2484,133.55,4,23,33.79,21.23,0.2312,Transport,0,0,1,0,0,0,0.095,0
TXN0000115,72.45,12,1,20,4018,260.01,4,16,65.54,9.34,0.2382,Healthcare,0,0,1,0,0,0,0.279,0
TXN0000116,36.27,23,3,55,2097,21.74,3,11,31.03,46.43,0.0547,Healthcare,0,0,1,0,0,0,1.668,0
TXN0000117,87.15,23,2,47,2070,65.84,3,11,32.21,11.99,0.2945,Groceries,0,0,0,2,0,0,1.324,0
TXN0000118,68.38,2,2,56,3452,71.25,4,18,15.75,5.55,0.0441,Shopping,0,0,1,0,0,0,0.96,0
TXN0000119,420.75,1,6,50,1305,50.02,1,11,18.44,39.27,0.0927,Healthcare,0,0,0,0,0,0,8.412,0
TXN0000120,50.64,12,3,42,3146,42.7,3,18,3.32,20.16,0.1137,Bills,0,0,1,0,0,0,1.186,0
TXN0000121,20.55,19,3,35,1941,5.93,3,13,18.89,20.0,0.362,Shopping,0,0,1,0,0,0,3.465,0
TXN0000122,81.95,12,6,51,2400,194.29,5,27,17.49,23.57,0.1566,Electronics,0,0,0,0,0,1,0.422,0
TXN0000123,85.88,5,3,28,3878,16.24,4,17,34.24,57.44,0.0917,Online Services,0,0,0,1,0,0,5.288,0
TXN0000124,318.32,13,2,46,264,107.53,3,17,3.86,46.87,0.1188,Travel,0,0,0,0,0,0,2.96,0
TXN0000125,174.23,22,3,57,3268,55.05,5,14,18.22,48.43,0.0699,Shopping,0,0,0,0,0,0,3.165,0
TXN0000126,100.52,4,5,30,1344,53.36,3,13,77.25,48.58,0.0609,Bills,0,0,1,0,0,0,1.884,0
TXN0000127,358.81,10,3,22,75,46.8,4,15,54.13,54.29,0.0696,Healthcare,0,0,0,1,0,0,7.667,0
TXN0000128,17.0,15,4,19,1593,63.39,2,12,61.63,43.41,0.0834,Groceries,0,0,0,0,0,0,0.268,0
TXN0000129,31.95,9,1,46,3900,88.29,4,13,44.28,30.28,0.1605,Bills,0,0,1,0,0,0,0.362,0
TXN0000130,22.98,1,0,39,3670,111.47,4,18,53.47,8.18,0.2597,Electronics,0,0,0,0,0,0,0.206,0
TXN0000131,42.59,16,0,52,1306,49.68,6,18,33.26,24.5,0.2404,Bills,0,0,0,1,0,0,0.857,0
TXN0000132,13.69,17,3,60,1999,22.11,3,15,22.66,36.28,0.2377,Shopping,0,0,1,0,0,0,0.619,0
TXN0000133,138.44,15,5,68,4353,21.54,4,13,16.28,6.65,0.0711,Online Services,0,0,1,0,0,0,6.427,1
TXN0000134,51.65,15,1,34,1910,119.01,4,19,76.26,18.15,0.3272,Travel,0,1,1,0,0,0,0.434,0
TXN0000135,12.29,15,6,23,1295,44.55,1,17,13.24,49.69,0.08,Shopping,1,0,0,0,0,0,0.276,0
TXN0000136,20.74,7,1,56,2245,25.32,3,15,5.47,6.09,0.1683,Bills,1,0,1,0,0,0,0.819,0
TXN0000137,95.64,0,4,18,3923,31.3,0,10,13.01,4.73,0.2111,Bills,0,1,1,2,0,0,3.056,0
TXN0000138,174.84,23,1,51,2176,50.89,6,12,33.23,33.08,0.2396,Transport,0,0,0,0,0,0,3.436,0
TXN0000139,662.65,4,0,32,2589,20.85,4,22,24.52,24.98,0.0668,Food,0,0,0,1,0,0,31.782,1
TXN0000140,1902.53,19,4,36,3596,53.34,4,19,50.1,3.47,0.2704,Online Services,0,0,1,1,1,0,35.668,0
TXN0000141,107.4,12,3,24,4308,139.74,1,17,68.8,21.48,0.3625,Travel,0,0,1,0,0,0,0.769,0
TXN0000142,21.37,12,4,18,3361,49.95,1,16,39.17,38.26,0.2929,Entertainment,0,0,1,0,0,0,0.428,0
TXN0000143,5.74,0,6,28,2048,14.5,2,12,35.44,64.37,0.1273,Online Services,0,0,1,0,1,0,0.396,1
TXN0000144,90.73,23,3,40,3821,104.67,4,20,19.32,12.46,0.2042,Healthcare,0,0,0,0,0,0,0.867,0
TXN0000145,26.18,12,5,33,3905,125.54,2,14,13.36,51.98,0.1553,Entertainment,0,1,1,0,0,0,0.209,0
TXN0000146,41.36,19,3,38,1060,130.61,1,12,67.11,4.33,0.0191,Transport,0,0,0,0,0,0,0.317,0
TXN0000147,32.99,18,2,23,3487,57.07,2,14,86.94,17.71,0.2014,Transport,0,1,1,0,0,0,0.578,0
TXN0000148,56.72,3,2,25,3715,313.75,2,14,15.2,22.19,0.028,Healthcare,0,0,1,0,0,0,0.181,0
TXN0000149,227.21,22,2,56,1530,94.82,8,18,19.51,24.14,0.1306,Food,1,0,1,0,0,0,2.396,0
TXN0000150,79.89,14,6,60,1502,514.06,2,12,77.92,39.11,0.152,Transport,0,0,1,0,0,0,0.155,0
TXN0000151,55.57,4,3,56,3380,150.46,2,16,23.37,2.77,0.326,Groceries,1,1,1,0,0,0,0.369,0
TXN0000152,20.27,13,6,67,30,134.14,2,15,31.14,22.67,0.3681,Travel,0,0,0,1,0,0,0.151,0
TXN0000153,9.72,14,1,56,1473,34.23,3,12,39.72,29.57,0.6689,Groceries,0,0,1,0,0,0,0.284,0
TXN0000154,38.12,15,5,24,3208,26.82,7,15,52.34,8.29,0.1346,Shopping,0,0,1,1,1,0,1.421,0
TXN0000155,62.69,7,0,56,2288,59.54,4,17,27.27,27.42,0.1477,Transport,0,0,0,0,0,0,1.053,0
TXN0000156,509.34,22,2,30,88,47.26,3,14,27.47,13.16,0.3372,Shopping,0,0,0,0,0,0,10.777,0
TXN0000157,77.46,5,0,58,662,36.48,6,24,49.16,58.83,0.0454,Groceries,0,0,0,0,0,0,2.123,0
TXN0000158,206.47,11,6,50,517,49.52,3,13,12.9,14.54,0.5092,Entertainment,0,0,0,0,0,0,4.169,0
TXN0000159,37.56,20,2,62,2668,47.06,5,19,15.58,30.47,0.2021,Entertainment,0,0,1,1,0,0,0.798,0
TXN0000160,17.07,1,5,67,234,33.78,3,19,18.67,26.37,0.0477,Online Services,0,0,0,0,0,0,0.505,0
TXN0000161,21.98,9,2,53,3820,89.38,3,11,102.28,59.6,0.222,Food,0,1,1,1,0,0,0.246,0
TXN0000162,28.96,11,0,66,3043,31.07,2,14,30.42,21.82,0.2114,Online Services,0,0,1,0,0,0,0.932,0
TXN0000163,771.04,18,2,46,2535,52.86,1,14,69.9,123.01,0.0882,Electronics,0,0,1,1,0,0,14.586,0
TXN0000164,25.93,18,2,66,1063,21.96,2,14,26.75,10.72,0.3316,Entertainment,0,0,0,0,0,0,1.181,0
TXN0000165,174.91,19,3,22,954,58.85,3,14,8.56,69.88,0.1708,Travel,0,0,1,2,0,0,2.972,0
TXN0000166,23.61,8,2,40,4051,63.5,4,13,28.63,12.51,0.2659,Entertainment,0,0,0,0,0,0,0.372,0
TXN0000167,194.67,11,4,57,3090,26.55,3,15,14.13,37.39,0.0374,Entertainment,0,1,1,1,0,0,7.332,0
TXN0000168,103.82,0,5,69,1800,57.56,4,14,19.79,2.76,0.2844,Travel,0,0,0,0,0,0,1.804,0
TXN0000169,55.69,19,1,63,1069,50.74,4,12,55.49,20.78,0.0892,Online Services,0,0,1,0,0,0,1.098,0
TXN0000170,63.63,7,3,36,1695,38.65,3,13,10.6,21.47,0.1056,Bills,0,0,1,1,0,0,1.646,0
TXN0000171,31.41,11,4,50,1527,38.92,3,20,34.97,10.43,0.2381,Healthcare,0,0,1,0,0,0,0.807,0
TXN0000172,111.38,16,1,22,2588,76.39,2,15,40.62,21.82,0.4205,Food,0,0,1,0,0,0,1.458,0
TXN0000173,39.52,18,5,24,1343,55.77,1,14,66.72,22.61,0.1385,Shopping,1,0,1,0,0,0,0.709,0
TXN0000174,16.29,2,1,54,3881,111.97,1,14,78.79,53.88,0.0684,Food,0,0,0,0,0,0,0.145,0
TXN0000175,15.34,18,6,34,317,25.1,0,11,20.53,18.27,0.1851,Food,0,0,1,0,0,0,0.611,0
TXN0000176,81.33,9,3,46,3491,47.43,4,14,58.01,10.37,0.4884,Travel,1,0,1,1,0,1,1.715,0
TXN0000177,409.92,10,2,28,61,34.44,5,17,60.45,9.44,0.203,Food,0,0,0,0,0,0,11.902,0
TXN0000178,80.16,3,4,59,1056,57.13,3,12,112.49,39.26,0.0825,Food,0,0,0,0,0,0,1.403,0
TXN0000179,58.18,17,4,22,4690,66.81,2,15,46.56,34.17,0.0053,Food,0,0,1,0,0,1,0.871,0
TXN0000180,92.64,11,3,50,3824,22.5,4,13,40.72,26.73,0.6639,Shopping,0,0,1,0,0,0,4.117,0
TXN0000181,299.44,2,4,53,4913,85.18,5,21,43.11,20.25,0.1022,Food,0,0,1,2,0,0,3.515,0
TXN0000182,85.82,3,1,60,2548,276.47,3,16,6.53,32.14,0.3816,Shopping,0,0,1,0,0,0,0.31,0
TXN0000183,41.57,17,5,31,714,62.05,1,12,31.68,7.74,0.0843,Electronics,0,0,1,1,0,0,0.67,0
TXN0000184,237.99,2,4,35,4937,28.48,2,22,89.77,17.77,0.1292,Food,0,1,0,0,0,0,8.356,0
TXN0000185,109.19,12,1,46,3807,43.86,6,20,35.11,14.94,0.2534,Shopping,0,0,1,1,0,0,2.49,0
TXN0000186,389.99,16,6,32,2598,42.81,5,18,107.08,6.84,0.1023,Travel,0,0,0,3,0,0,9.11,0
TXN0000187,82.33,21,6,56,3848,33.1,2,16,20.98,11.74,0.3722,Shopping,0,0,0,0,0,0,2.487,0
TXN0000188,16.31,3,1,57,1452,93.88,4,12,70.72,24.61,0.338,Healthcare,0,0,1,1,0,0,0.174,0
TXN0000189,13.83,7,5,57,3952,13.91,4,18,37.44,11.38,0.3543,Groceries,0,0,0,0,1,0,0.994,0
TXN0000190,445.22,3,3,43,3812,66.98,2,13,13.96,34.16,0.1651,Food,0,0,1,0,0,0,6.647,0
TXN0000191,484.06,21,5,50,720,143.72,0,15,26.7,2.9,0.1552,Shopping,0,0,0,1,0,0,3.368,0
TXN0000192,54.25,14,2,27,175,136.93,4,16,70.48,47.48,0.4377,Shopping,0,0,1,0,0,0,0.396,0
TXN0000193,42.92,23,1,28,4237,117.73,2,7,12.33,16.22,0.0534,Bills,0,0,0,0,0,0,0.365,0
TXN0000194,358.05,1,1,37,3631,33.28,4,19,43.24,14.16,0.3152,Shopping,0,0,1,0,0,0,10.759,0
TXN0000195,18.67,16,0,28,1488,162.9,3,14,13.81,19.45,0.2785,Bills,0,0,0,0,0,0,0.115,0
TXN0000196,23.83,0,6,59,2729,71.88,4,16,21.53,5.14,0.1731,Entertainment,0,0,0,1,0,0,0.332,0
TXN0000197,139.75,2,2,31,176,158.77,2,13,68.21,37.56,0.1811,Online Services,0,0,0,0,0,0,0.88,0
TXN0000198,42.36,10,6,66,902,122.88,2,8,65.83,23.9,0.2623,Electronics,0,0,1,1,0,0,0.345,0
TXN0000199,66.29,8,1,39,469,69.12,3,11,18.45,33.6,0.0238,Entertainment,0,0,0,0,0,0,0.959,0
TXN0000200,55.26,8,2,57,149,45.44,3,12,82.36,44.52,0.0868,Groceries,0,0,0,0,0,0,1.216,0
TXN0000201,98.32,1,6,21,714,321.53,3,14,37.84,21.19,0.2006,Shopping,0,0,1,0,0,0,0.306,0
TXN0000202,336.5,13,2,55,261,14.37,2,16,50.16,24.92,0.0841,Entertainment,0,0,1,0,0,0,23.417,0
TXN0000203,74.01,8,5,41,4720,47.94,1,17,25.78,10.11,0.1665,Travel,0,0,1,1,0,0,1.544,0
TXN0000204,139.84,23,0,60,436,19.03,2,13,30.95,4.48,0.0595,Bills,0,1,1,0,1,0,7.348,0
TXN0000205,6.31,18,6,27,683,59.61,4,20,64.63,25.64,0.1948,Food,0,0,0,0,0,0,0.106,0
TXN0000206,63.05,10,4,28,2453,71.35,3,16,57.13,13.92,0.2787,Electronics,0,0,0,0,1,0,0.884,0
TXN0000207,25.29,18,5,62,3020,33.71,6,16,52.53,49.1,0.0567,Food,0,0,1,2,0,0,0.75,0
TXN0000208,16.42,13,0,48,3546,35.67,1,11,36.83,26.23,0.2187,Healthcare,0,0,0,0,0,0,0.46,0
TXN0000209,24.29,11,6,47,514,20.28,5,15,42.83,22.18,0.2512,Shopping,0,0,1,0,0,0,1.198,0
TXN0000210,45.41,22,3,48,694,76.63,0,9,38.85,12.96,0.1793,Bills,0,0,1,0,0,0,0.593,0
TXN0000211,191.19,14,1,36,111,38.48,4,16,11.57,19.37,0.053,Healthcare,0,0,1,1,0,0,4.969,0
TXN0000212,14.51,11,1,67,820,74.95,1,15,8.27,6.0,0.1885,Travel,1,0,0,0,0,0,0.194,0
TXN0000213,69.08,13,0,46,979,36.86,0,6,35.42,11.7,0.2299,Online Services,0,0,1,0,0,0,1.874,0
TXN0000214,38.21,18,4,18,4075,65.72,2,13,33.99,20.59,0.1129,Groceries,0,0,1,0,0,0,0.581,0
TXN0000215,45.75,17,1,32,2966,95.08,1,14,13.67,51.66,0.3139,Bills,0,0,1,0,0,0,0.481,0
TXN0000216,211.28,13,6,68,1162,78.17,6,19,27.41,12.97,0.2653,Entertainment,0,1,0,0,0,0,2.703,0
